"","player_name","club_name","position","position_index","goals_scored","assists","ict_index","goals_conceded","minutes","own_goals","total_points","bps","bonus","clean_sheets","GW","season"
"8253","Joe Allen","Stoke City","Central Midfield",3,5,3,124.6,32,1732,0,83,369,9,5,23,"2016/2017"
"8254","Joe Ledley","Crystal Palace","Central Midfield",3,1,1,30.2,23,1081,0,38,186,1,2,23,"2016/2017"
"8255","Johann Berg Gudmundsson","Burnley FC","Right Winger",4,1,2,59.3,17,922,0,41,162,3,3,23,"2016/2017"
"8256","John O'Shea","Sunderland AFC","Centre-Back",2,0,0,20.6,22,977,0,21,140,1,0,23,"2016/2017"
"8257","John Stones","Manchester City","Centre-Back",2,0,0,37,21,1280,0,35,257,1,1,23,"2016/2017"
"8258","John Terry","Chelsea FC","Centre-Back",2,0,0,13.3,4,367,0,11,66,0,1,23,"2016/2017"
"8259","Jonas Olsson","West Bromwich Albion","Centre-Back",2,0,0,12,13,590,0,8,60,0,1,23,"2016/2017"
"8260","Jonathan Benteke","Crystal Palace","Centre-Forward",5,0,0,1.4,0,7,0,1,3,0,0,20,"2016/2017"
"8261","Jonathan Calleri","West Ham United","Centre-Forward",5,1,0,15.1,2,159,0,11,27,0,0,22,"2016/2017"
"8262","Jonathan Leko","West Bromwich Albion","Right Winger",4,0,1,7.2,2,95,0,9,33,0,0,23,"2016/2017"
"8263","Jonathan Walters","Stoke City","Right Winger",4,2,2,60.9,17,936,0,47,122,2,4,23,"2016/2017"
"8264","Jonny Evans","West Bromwich Albion","Centre-Back",2,1,0,42.8,19,1469,0,44,262,3,3,23,"2016/2017"
"8265","Jon Flanagan","Liverpool FC","Right-Back",2,0,0,7.2,4,315,0,8,51,0,1,23,"2016/2017"
"8266","Jordan Henderson","Liverpool FC","Central Midfield",3,1,4,103.3,25,1846,0,69,429,9,6,23,"2016/2017"
"8267","Jordan Pickford","Sunderland AFC","Goalkeeper",1,0,0,51.9,27,1440,0,54,326,3,2,23,"2016/2017"
"8268","Jordan Rhodes","Middlesbrough FC","Centre-Forward",5,0,0,15.4,2,211,0,8,21,0,0,23,"2016/2017"
"8269","Jordi Amat","Swansea City","Centre-Back",2,0,0,45.3,34,1350,0,20,224,0,2,23,"2016/2017"
"8270","Jordon Ibe","AFC Bournemouth","Right Winger",4,0,0,55.3,14,780,0,26,106,0,3,23,"2016/2017"
"8271","Jordon Mutch","Crystal Palace","Central Midfield",3,0,0,3.1,1,53,0,4,17,0,0,23,"2016/2017"
"8272","Jordy Clasie","Southampton FC","Defensive Midfield",3,0,1,26.7,11,769,0,24,105,0,1,23,"2016/2017"
"8273","Joshua King","AFC Bournemouth","Second Striker",5,4,1,87.9,27,1395,0,67,182,2,5,23,"2016/2017"
"8274","Josh Tymon","Hull City","Left-Back",2,0,0,3.7,3,157,0,9,29,0,0,23,"2016/2017"
"8275","José Holebas","Watford FC","Left-Back",2,2,3,86.9,37,1829,0,59,315,6,4,23,"2016/2017"
"8276","Juan Mata","Manchester United","Attacking Midfield",4,4,2,121.2,11,1051,1,67,306,9,6,23,"2016/2017"
"8277","Julien Ngoy","Stoke City","Centre-Forward",5,0,0,3.9,1,25,0,4,12,0,0,21,"2016/2017"
"8278","Junior Stanislas","AFC Bournemouth","Left Winger",4,4,6,92.4,22,1039,0,75,271,6,4,23,"2016/2017"
"8279","Jérémy Pied","Southampton FC","Right-Back",2,0,0,3.4,0,12,0,1,2,0,0,23,"2016/2017"
"8280","Kasper Schmeichel","Leicester City","Goalkeeper",1,0,0,32.8,21,1226,0,52,271,5,4,23,"2016/2017"
"8281","Kelechi Iheanacho","Manchester City","Centre-Forward",5,4,3,84.8,8,475,0,47,168,6,1,23,"2016/2017"
"8282","Kevin De Bruyne","Manchester City","Attacking Midfield",4,3,12,205.2,25,1662,0,117,436,20,3,23,"2016/2017"
"8283","Kevin Mirallas","Everton FC","Right Winger",4,3,4,110.2,14,1263,0,75,236,5,7,23,"2016/2017"
"8284","Kevin Stewart","Liverpool FC","Defensive Midfield",3,0,0,0.4,0,20,0,4,12,0,0,23,"2016/2017"
"8285","Kevin Wimmer","Tottenham Hotspur","Centre-Back",2,0,0,5,4,315,1,2,27,0,0,23,"2016/2017"
"8286","Kieran Gibbs","Arsenal FC","Left-Back",2,0,1,22.3,1,207,0,12,59,0,1,23,"2016/2017"
"8287","Kieran Trippier","Tottenham Hotspur","Right-Back",2,0,2,9.1,1,103,0,12,48,2,0,23,"2016/2017"
"8288","Kyle Naughton","Swansea City","Right-Back",2,0,0,75.2,36,1475,1,27,266,3,2,23,"2016/2017"
"8289","Kyle Walker","Tottenham Hotspur","Right-Back",2,0,6,105.3,14,1814,0,109,478,16,9,23,"2016/2017"
"8290","Lamine Koné","Sunderland AFC","Centre-Back",2,0,0,53.4,27,1463,0,40,238,0,2,23,"2016/2017"
"8291","Laurent Koscielny","Arsenal FC","Centre-Back",2,2,1,80.9,19,1863,0,96,513,17,7,23,"2016/2017"
"8292","Lee Cattermole","Sunderland AFC","Defensive Midfield",3,0,0,2.6,3,175,0,3,17,0,0,23,"2016/2017"
"8293","Lee Grant","Stoke City","Goalkeeper",1,0,0,39.7,20,1530,0,72,338,6,6,20,"2016/2017"
"8294","Leighton Baines","Everton FC","Left-Back",2,2,3,74.4,13,1424,0,86,343,13,6,23,"2016/2017"
"8295","Leonardo Ulloa","Leicester City","Centre-Forward",5,1,0,26.5,3,251,0,18,43,1,1,23,"2016/2017"
"8296","Leon Britton","Swansea City","Central Midfield",3,0,0,15.1,22,802,0,20,133,0,2,23,"2016/2017"
"8297","Leroy Fer","Swansea City","Central Midfield",3,6,1,84.2,31,1265,0,68,266,5,2,23,"2016/2017"
"8298","Leroy Sané","Manchester City","Left Winger",4,2,1,37.9,6,482,0,37,109,3,0,23,"2016/2017"
"8299","Lewis Cook","AFC Bournemouth","Central Midfield",3,0,0,2.5,3,80,0,2,10,0,0,23,"2016/2017"
"8300","Lewis Grabban","AFC Bournemouth","Centre-Forward",5,0,1,5.3,2,60,0,6,17,0,0,23,"2016/2017"
"8301","Loris Karius","Liverpool FC","Goalkeeper",1,0,0,15,12,900,0,32,153,0,3,23,"2016/2017"
"8302","Lucas Pérez","Arsenal FC","Centre-Forward",5,1,0,25,1,222,0,15,67,0,1,20,"2016/2017"
"8303","Luis Hernández","Leicester City","Centre-Back",2,0,0,12,8,327,0,3,50,0,0,23,"2016/2017"
"8304","Lukasz Fabianski","Swansea City","Goalkeeper",1,0,0,46.2,51,1980,0,61,369,5,3,23,"2016/2017"
"8305","Lukas Jutkiewicz","Burnley FC","Centre-Forward",5,0,0,0.3,0,13,0,2,5,0,0,23,"2016/2017"
"8306","Luke Shaw","Manchester United","Left-Back",2,0,1,19,5,525,0,28,132,2,3,23,"2016/2017"
"8307","Lynden Gooch","Sunderland AFC","Right Winger",4,0,0,14.5,5,323,0,10,38,0,1,23,"2016/2017"
"8308","Lys Mousset","AFC Bournemouth","Centre-Forward",5,0,0,2.4,1,25,0,2,1,0,0,23,"2016/2017"
"8309","Maarten Stekelenburg","Everton FC","Goalkeeper",1,0,0,30.2,20,1413,1,57,255,3,3,23,"2016/2017"
"8310","Manuel Agudo Durán","Manchester City","Left Winger",4,4,3,79.4,6,735,0,49,157,2,3,23,"2016/2017"
"8311","Manuel Lanzini","West Ham United","Attacking Midfield",4,4,2,101.6,26,1323,0,70,319,9,5,23,"2016/2017"
"8312","Marcin Wasilewski","Leicester City","Centre-Back",2,0,0,1.1,2,90,0,1,10,0,0,23,"2016/2017"
"8313","Marcos Alonso","Chelsea FC","Left-Back",2,3,3,85.7,6,1450,0,112,411,6,12,20,"2016/2017"
"8314","Marcos Rojo","Manchester United","Centre-Back",2,0,0,39.1,10,1056,0,48,232,4,4,23,"2016/2017"
"8315","Marcus Rashford","Manchester United","Centre-Forward",5,3,2,81.4,12,867,0,43,171,0,2,23,"2016/2017"
"8316","Marc Albrighton","Leicester City","Right Midfield",3,0,1,71,25,1314,0,45,228,2,5,23,"2016/2017"
"8317","Marc Muniesa","Stoke City","Centre-Back",2,1,0,16.6,3,289,0,23,88,3,2,23,"2016/2017"
"8318","Marc Pugh","AFC Bournemouth","Left Winger",4,1,1,20.5,2,196,0,19,70,3,1,23,"2016/2017"
"8319","Marko Arnautovic","Stoke City","Centre-Forward",5,3,2,103.2,21,1499,0,61,199,3,6,23,"2016/2017"
"8320","Marko Grujic","Liverpool FC","Central Midfield",3,0,0,2.9,0,30,0,2,6,0,0,23,"2016/2017"
"8321","Markus Henriksen","Hull City","Central Midfield",3,0,0,13.3,12,572,0,16,64,0,0,20,"2016/2017"
"8322","Mark Noble","West Ham United","Central Midfield",3,2,0,66.9,26,1615,0,50,263,3,6,23,"2016/2017"
"8323","Marouane Fellaini","Manchester United","Central Midfield",3,0,0,47.5,12,853,0,23,149,0,4,23,"2016/2017"
"8324","Marten de Roon","Middlesbrough FC","Central Midfield",3,2,0,49.4,21,1578,0,51,227,2,5,23,"2016/2017"
"8325","Martin Kelly","Crystal Palace","Right-Back",2,0,2,38.5,30,1298,0,25,185,0,0,23,"2016/2017"
"8326","Martin Olsson","Swansea City","Left-Back",2,0,0,1.9,2,78,0,3,9,0,0,2,"2016/2017"
"8327","Mason Holgate","Everton FC","Centre-Back",2,0,1,23.2,2,564,0,34,154,3,4,23,"2016/2017"
"8328","Mathieu Debuchy","Arsenal FC","Right-Back",2,0,0,0.2,0,15,0,1,2,0,0,23,"2016/2017"
"8329","Mathieu Flamini","Crystal Palace","Defensive Midfield",3,0,0,4.1,4,237,0,9,33,0,0,20,"2016/2017"
"8330","Matteo Darmian","Manchester United","Right-Back",2,0,0,19.5,5,762,0,35,169,3,4,23,"2016/2017"
"8331","Matthew Lowton","Burnley FC","Right-Back",2,0,1,78.1,31,1800,0,51,340,4,4,23,"2016/2017"
"8332","Matt Phillips","West Bromwich Albion","Right Winger",4,4,9,122.3,23,1743,0,107,346,12,5,23,"2016/2017"
"8333","Matt Targett","Southampton FC","Left-Back",2,0,0,14.7,4,283,0,6,59,0,0,23,"2016/2017"
"8334","Max Gradel","AFC Bournemouth","Left Winger",4,0,0,7.3,0,95,0,4,14,0,0,23,"2016/2017"
"8335","Maya Yoshida","Southampton FC","Centre-Back",2,0,1,21.3,10,630,0,17,110,0,1,23,"2016/2017"
"8336","Memphis Depay","Manchester United","Centre-Forward",5,0,0,0.7,1,24,0,3,6,0,0,23,"2016/2017"
"8337","Mesut Özil","Arsenal FC","Attacking Midfield",4,5,6,179,15,1592,0,98,402,10,6,23,"2016/2017"
"8338","Michael Carrick","Manchester United","Defensive Midfield",3,0,0,22.6,6,778,0,22,140,0,3,23,"2016/2017"
"8339","Michael Dawson","Hull City","Centre-Back",2,3,0,69.9,27,1260,1,43,225,4,0,23,"2016/2017"
"8340","Michael Keane","Burnley FC","Centre-Back",2,1,0,93.3,33,1980,0,70,362,2,5,23,"2016/2017"
"8341","Michael Kightly","Burnley FC","Left Winger",4,0,0,1.5,1,104,0,6,20,0,0,23,"2016/2017"
"8342","Michail Antonio","West Ham United","Right Winger",4,8,6,173.7,29,1814,0,111,340,7,7,23,"2016/2017"
"8343","Michel Vorm","Tottenham Hotspur","Goalkeeper",1,0,0,5.5,1,236,0,15,51,0,1,23,"2016/2017"
"8344","Michy Batshuayi","Chelsea FC","Centre-Forward",5,1,1,16.1,0,105,0,23,61,1,0,23,"2016/2017"
"8345","Miguel Britos","Watford FC","Centre-Back",2,0,1,54.5,26,1613,0,42,261,4,4,23,"2016/2017"
"8346","Mike van der Hoorn","Swansea City","Centre-Back",2,1,0,23.6,20,630,0,15,121,0,1,23,"2016/2017"
"8347","Mile Jedinak","Crystal Palace","Defensive Midfield",3,0,0,4.3,1,90,0,2,8,0,0,23,"2016/2017"
"8348","Modou Barrow","Swansea City","Right Winger",4,0,2,70.5,23,1145,0,34,136,0,4,23,"2016/2017"
"8349","Mohamed Elneny","Arsenal FC","Defensive Midfield",3,0,1,22.2,8,534,0,21,114,0,2,23,"2016/2017"
"8350","Morgan Schneiderlin","Manchester United","Defensive Midfield",3,0,0,1.4,1,72,0,7,13,0,0,23,"2016/2017"
"8351","Mousa Dembélé","Tottenham Hotspur","Central Midfield",3,0,1,45.5,12,1045,0,37,222,3,5,23,"2016/2017"
"8352","Moussa Sissoko","Tottenham Hotspur","Central Midfield",3,0,3,44.3,2,583,0,31,102,0,4,20,"2016/2017"
"8353","N'Golo Kanté","Chelsea FC","Central Midfield",3,1,0,73.7,15,1878,0,55,319,0,12,23,"2016/2017"
"8354","Nacer Chadli","West Bromwich Albion","Left Winger",4,4,3,72.7,16,1114,0,71,207,8,4,23,"2016/2017"
"8355","Nacho Monreal","Arsenal FC","Left-Back",2,0,1,62.2,22,1803,0,64,390,4,6,23,"2016/2017"
"8356","Nampalys Mendy","Leicester City","Defensive Midfield",3,0,0,4,5,269,0,6,26,0,1,23,"2016/2017"
"8357","Nathaniel Chalobah","Chelsea FC","Defensive Midfield",3,0,1,6.5,0,79,0,10,35,0,0,22,"2016/2017"
"8358","Nathaniel Clyne","Liverpool FC","Right-Back",2,0,2,99.6,26,1890,0,75,421,9,6,23,"2016/2017"
"8359","Nathan Aké","Chelsea FC","Centre-Back",2,6,0,106,34,1470,0,102,472,16,6,45,"2016/2017"
"8360","Nathan Aké","Chelsea FC","Left Winger",4,6,0,106,34,1470,0,102,472,16,6,46,"2016/2017"
"8361","Nathan Dyer","Swansea City","Right Winger",4,0,1,14.2,10,192,0,10,38,0,0,23,"2016/2017"
"8362","Nathan Redmond","Southampton FC","Left Winger",4,3,1,144.6,24,1746,0,70,257,7,7,23,"2016/2017"
"8363","Neil Taylor","Swansea City","Left-Back",2,0,1,24.6,26,920,0,22,160,0,2,23,"2016/2017"
"8364","Nemanja Matic","Chelsea FC","Defensive Midfield",3,0,7,82.2,12,1708,0,73,362,1,12,23,"2016/2017"
"8365","Nicolás Otamendi","Manchester City","Centre-Back",2,0,2,70.6,21,1581,0,54,359,7,3,23,"2016/2017"
"8366","Nordin Amrabat","Watford FC","Left Winger",4,0,3,81.6,32,1403,0,46,185,5,2,23,"2016/2017"
"8367","Odion Ighalo","Watford FC","Centre-Forward",5,1,1,70,29,1291,0,39,84,2,2,23,"2016/2017"
"8368","Ola Aina","Chelsea FC","Right-Back",2,0,0,0.2,0,10,0,2,6,0,0,23,"2016/2017"
"8369","Oliver McBurnie","Swansea City","Centre-Forward",5,0,0,7.8,2,66,0,4,14,0,0,21,"2016/2017"
"8370","Olivier Giroud","Arsenal FC","Centre-Forward",5,7,4,90.4,4,594,0,71,262,12,3,23,"2016/2017"
"8371","Omar Elabdellaoui","Hull City","Right-Back",2,0,0,1,2,90,0,2,14,0,0,2,"2016/2017"
"8372","Oscar dos Santos Emboaba Junior","Chelsea FC","Attacking Midfield",4,0,1,42.2,6,455,0,17,104,0,1,23,"2016/2017"
"8373","Oumar Niasse","Everton FC","Centre-Forward",5,0,0,2.8,1,40,0,3,7,0,0,23,"2016/2017"
"8374","Pablo Zabaleta","Manchester City","Right-Back",2,1,0,41.2,16,889,0,29,169,4,1,23,"2016/2017"
"8375","Pape Souaré","Crystal Palace","Left-Back",2,0,0,9.7,3,270,0,6,37,0,0,23,"2016/2017"
"8376","Papy Djilobodji","Sunderland AFC","Centre-Back",2,0,0,63.8,35,1577,0,24,281,0,2,23,"2016/2017"
"8377","Patrick Bamford","Middlesbrough FC","Centre-Forward",5,0,0,1.5,2,50,0,8,17,0,0,20,"2016/2017"
"8378","Patrick van Aanholt","Crystal Palace","Left-Back",2,3,1,115.1,39,1784,0,65,374,6,2,23,"2016/2017"
"8379","Paul Pogba","Manchester United","Central Midfield",3,4,3,180.5,20,1890,0,86,365,11,7,23,"2016/2017"
"8380","Paul Robinson","Burnley FC","Goalkeeper",1,0,0,3.2,4,180,0,3,27,0,0,23,"2016/2017"
"8381","Pedro Obiang","West Ham United","Central Midfield",3,0,1,32.2,17,1184,0,34,214,3,4,23,"2016/2017"
"8382","Pedro Rodríguez Ledesma","Chelsea FC","Right Winger",4,5,6,89.2,5,1089,0,91,293,10,10,23,"2016/2017"
"8383","Peter Crouch","Stoke City","Centre-Forward",5,3,2,62,13,646,0,50,133,3,1,23,"2016/2017"
"8384","Petr Cech","Arsenal FC","Goalkeeper",1,0,0,43.8,23,1980,1,78,383,0,7,23,"2016/2017"
"8385","Philippe Coutinho","Liverpool FC","Left Winger",4,5,6,151.3,14,1046,0,82,315,10,3,23,"2016/2017"
"8386","Philipp Wollscheid","Stoke City","Centre-Back",2,0,0,5,5,180,0,1,23,0,0,23,"2016/2017"
"8387","Phil Bardsley","Stoke City","Right-Back",2,0,0,20,9,661,0,21,105,0,2,23,"2016/2017"
"8388","Phil Jagielka","Everton FC","Centre-Back",2,0,1,44.4,18,1261,0,34,234,3,2,23,"2016/2017"
"8389","Phil Jones","Manchester United","Centre-Back",2,0,0,39.5,8,990,0,39,228,4,3,23,"2016/2017"
"8390","Ragnar Klavan","Liverpool FC","Centre-Back",2,0,0,30.4,13,946,0,31,209,3,3,23,"2016/2017"
"8391","Raheem Sterling","Manchester City","Right Winger",4,5,8,156.7,21,1649,0,102,299,7,4,23,"2016/2017"
"8392","Ramadan Sobhi","Stoke City","Left Winger",4,0,1,3.7,3,200,0,13,49,0,1,23,"2016/2017"
"8393","Ramiro Funes Mori","Everton FC","Centre-Back",2,0,0,36.1,12,1013,0,49,242,3,5,23,"2016/2017"
"8394","Rickie Lambert","West Bromwich Albion","Centre-Forward",5,0,0,5.5,0,13,0,1,3,0,0,23,"2016/2017"
"8395","Riyad Mahrez","Leicester City","Right Winger",4,3,3,118,26,1508,0,67,237,4,5,23,"2016/2017"
"8396","Robert Kenedy Nunes do Nascimento","Chelsea FC","Left Midfield",3,0,0,0.1,0,16,0,1,2,0,0,23,"2016/2017"
"8397","Roberto Firmino","Liverpool FC","Centre-Forward",5,8,5,226.3,26,1862,0,114,386,12,6,23,"2016/2017"
"8398","Roberto Pereyra","Watford FC","Left Midfield",3,2,3,54.7,17,1036,0,43,186,2,3,21,"2016/2017"
"8399","Robert Huth","Leicester City","Centre-Back",2,0,1,67.9,32,1756,1,43,271,0,5,23,"2016/2017"
"8400","Robert Snodgrass","West Ham United","Right Winger",4,7,3,156.9,42,1710,0,100,367,16,2,23,"2016/2017"
"8401","Rob Holding","Arsenal FC","Centre-Back",2,0,0,8.8,5,270,0,7,61,0,1,23,"2016/2017"
"8402","Romelu Lukaku","Everton FC","Centre-Forward",5,12,4,186.3,21,1826,0,119,434,19,7,23,"2016/2017"
"8403","Ron-Robert Zieler","Leicester City","Goalkeeper",1,0,0,13.9,16,754,0,17,119,0,1,23,"2016/2017"
"8404","Ross Barkley","Everton FC","Central Midfield",3,3,5,158,18,1565,0,78,266,7,5,23,"2016/2017"
"8405","Ruben Loftus-Cheek","Chelsea FC","Central Midfield",3,0,0,0.3,0,16,0,2,7,0,0,23,"2016/2017"
"8406","Rudy Gestede","Middlesbrough FC","Centre-Forward",5,0,0,1,1,34,0,3,5,0,0,3,"2016/2017"
"8407","Ryan Bertrand","Southampton FC","Left-Back",2,1,1,58.2,15,1247,0,67,261,4,7,23,"2016/2017"
"8408","Ryan Fraser","AFC Bournemouth","Left Winger",4,3,4,49.4,10,640,0,55,165,5,3,22,"2016/2017"
"8409","Ryan Mason","Tottenham Hotspur","Central Midfield",3,1,0,39.8,27,927,0,26,126,0,0,23,"2016/2017"
"8410","Ryan Shawcross","Stoke City","Centre-Back",2,1,2,77.3,31,1710,0,57,306,5,4,23,"2016/2017"
"8411","Sadio Mané","Liverpool FC","Left Winger",4,9,6,181.8,17,1655,0,114,367,8,7,23,"2016/2017"
"8412","Saido Berahino","Stoke City","Centre-Forward",5,0,0,7.4,2,243,0,7,-3,0,2,23,"2016/2017"
"8413","Samir Nasri","Manchester City","Attacking Midfield",4,0,0,5.8,0,16,0,1,0,0,0,23,"2016/2017"
"8414","Sam Byram","West Ham United","Right-Back",2,0,0,14,7,399,0,9,70,0,1,23,"2016/2017"
"8415","Sam Clucas","Hull City","Left Midfield",3,0,1,59.9,44,1869,0,44,294,0,1,23,"2016/2017"
"8416","Sam Field","West Bromwich Albion","Central Midfield",3,0,0,5.1,1,166,0,5,30,0,1,23,"2016/2017"
"8417","Sam McQueen","Southampton FC","Left-Back",2,0,1,17.3,8,480,0,19,109,0,1,16,"2016/2017"
"8418","Sam Vokes","Burnley FC","Centre-Forward",5,4,3,91.6,22,1335,0,72,194,6,3,23,"2016/2017"
"8419","Scott Arfield","Burnley FC","Left Midfield",3,1,2,65.6,23,1325,0,48,166,3,4,23,"2016/2017"
"8420","Scott Dann","Crystal Palace","Centre-Back",2,2,1,77.8,32,1530,0,57,245,1,1,23,"2016/2017"
"8421","Seamus Coleman","Everton FC","Right-Back",2,4,1,88.7,21,1686,0,97,374,11,6,23,"2016/2017"
"8422","Sebastian Larsson","Sunderland AFC","Central Midfield",3,0,1,24.5,16,578,0,18,81,0,0,23,"2016/2017"
"8423","Sebastian Prödl","Watford FC","Centre-Back",2,1,2,58.7,29,1735,0,57,293,3,4,23,"2016/2017"
"8424","Sergio Agüero","Manchester City","Centre-Forward",5,11,1,167.9,21,1321,0,88,319,18,2,23,"2016/2017"
"8425","Shane Long","Southampton FC","Centre-Forward",5,1,1,50.4,13,661,0,36,87,1,1,23,"2016/2017"
"8426","Shaun Maloney","Hull City","Attacking Midfield",4,1,1,16,5,151,0,15,55,2,0,23,"2016/2017"
"8427","Shay Given","Stoke City","Goalkeeper",1,0,0,14.4,14,450,1,13,92,3,0,23,"2016/2017"
"8428","Shinji Okazaki","Leicester City","Centre-Forward",5,2,0,44.2,14,895,0,36,119,2,3,23,"2016/2017"
"8429","Shkodran Mustafi","Arsenal FC","Centre-Back",2,1,1,55,13,1284,0,50,288,2,4,20,"2016/2017"
"8430","Simone Zaza","West Ham United","Centre-Forward",5,0,0,32.9,14,459,0,10,21,0,2,20,"2016/2017"
"8431","Simon Francis","AFC Bournemouth","Right-Back",2,0,1,82.5,34,1791,0,55,402,5,6,23,"2016/2017"
"8432","Simon Mignolet","Liverpool FC","Goalkeeper",1,0,0,20,15,1080,0,51,206,2,3,23,"2016/2017"
"8433","Sofiane Boufal","Southampton FC","Attacking Midfield",4,1,0,51.8,10,624,0,25,104,1,3,20,"2016/2017"
"8434","Sofiane Feghouli","West Ham United","Right Winger",4,1,1,30.3,7,353,0,21,81,1,1,23,"2016/2017"
"8435","Stefano Okaka","Watford FC","Centre-Forward",5,2,0,29.1,5,348,0,20,71,3,1,20,"2016/2017"
"8436","Stephen Kingsley","Swansea City","Left-Back",2,0,0,20.2,17,765,0,19,137,2,2,23,"2016/2017"
"8437","Stephen Ward","Burnley FC","Left-Back",2,1,0,63,31,1835,0,56,326,0,4,23,"2016/2017"
"8438","Steven Davis","Southampton FC","Central Midfield",3,0,2,75.8,16,1370,0,43,243,0,5,23,"2016/2017"
"8439","Steven Defour","Burnley FC","Central Midfield",3,1,3,67.9,13,953,0,51,226,6,5,22,"2016/2017"
"8440","Steven Pienaar","Sunderland AFC","Left Winger",4,0,0,25.9,11,690,0,13,65,0,2,22,"2016/2017"
"8441","Steve Cook","AFC Bournemouth","Centre-Back",2,2,0,96.4,39,1980,1,71,449,10,6,23,"2016/2017"
"8442","Steve Mandanda","Crystal Palace","Goalkeeper",1,0,0,18.2,17,810,0,19,120,0,0,23,"2016/2017"
"8443","Stewart Downing","Middlesbrough FC","Left Midfield",3,1,2,70.6,14,1104,0,46,205,3,4,23,"2016/2017"
"8444","Theo Walcott","Arsenal FC","Right Winger",4,8,3,142,16,1341,0,91,281,6,5,23,"2016/2017"
"8445","Thibaut Courtois","Chelsea FC","Goalkeeper",1,0,0,30.9,15,1980,0,100,408,0,13,23,"2016/2017"
"8446","Toby Alderweireld","Tottenham Hotspur","Centre-Back",2,0,0,46.8,7,1203,0,60,292,0,7,23,"2016/2017"
"8447","Tom Carroll","Tottenham Hotspur","Central Midfield",3,0,1,4.9,2,91,0,8,23,0,0,23,"2016/2017"
"8448","Tom Cleverley","Everton FC","Central Midfield",3,0,1,22.3,11,511,0,23,87,0,0,23,"2016/2017"
"8449","Tom Davies","Everton FC","Central Midfield",3,1,2,22.9,0,361,0,26,83,0,3,23,"2016/2017"
"8450","Tom Heaton","Burnley FC","Goalkeeper",1,0,0,65.8,29,1800,0,102,448,16,5,23,"2016/2017"
"8451","Tom Huddlestone","Hull City","Defensive Midfield",3,0,2,44.3,26,1224,0,42,217,2,2,23,"2016/2017"
"8452","Trent Alexander-Arnold","Liverpool FC","Right-Back",2,0,0,5,1,91,0,3,15,0,0,23,"2016/2017"
"8453","Troy Deeney","Watford FC","Centre-Forward",5,5,3,127.3,37,1882,0,85,268,9,4,23,"2016/2017"
"8454","Tyrone Mings","AFC Bournemouth","Centre-Back",2,0,0,4.6,5,181,1,1,28,0,0,23,"2016/2017"
"8455","Valon Behrami","Watford FC","Defensive Midfield",3,0,0,21.7,23,1427,0,34,170,0,4,23,"2016/2017"
"8456","Victor Anichebe","Sunderland AFC","Centre-Forward",5,3,1,63.4,12,715,0,37,131,5,2,20,"2016/2017"
"8457","Victor Moses","Chelsea FC","Right Winger",4,3,2,97.2,6,1426,0,75,299,6,12,23,"2016/2017"
"8458","Victor Wanyama","Tottenham Hotspur","Defensive Midfield",3,2,0,93,16,1940,0,61,362,3,8,23,"2016/2017"
"8459","Viktor Fischer","Middlesbrough FC","Left Winger",4,0,2,31.1,6,407,0,21,74,0,1,23,"2016/2017"
"8460","Vincent Janssen","Tottenham Hotspur","Centre-Forward",5,1,2,55.4,7,614,0,35,66,3,1,23,"2016/2017"
"8461","Vincent Kompany","Manchester City","Centre-Back",2,0,0,2.4,1,114,0,3,13,0,0,23,"2016/2017"
"8462","Virgil van Dijk","Southampton FC","Centre-Back",2,1,0,86,23,1852,0,75,435,14,7,23,"2016/2017"
"8463","Vito Mannone","Sunderland AFC","Goalkeeper",1,0,0,14.1,15,540,0,24,100,2,0,23,"2016/2017"
"8464","Víctor Valdés","Middlesbrough FC","Goalkeeper",1,0,0,40.4,24,1710,0,70,324,7,5,23,"2016/2017"
"8465","Wahbi Khazri","Sunderland AFC","Attacking Midfield",4,0,0,26.2,12,456,0,14,42,0,1,23,"2016/2017"
"8466","Wayne Hennessey","Crystal Palace","Goalkeeper",1,0,0,30.1,24,1170,0,37,211,0,1,23,"2016/2017"
"8467","Wayne Rooney","Manchester United","Centre-Forward",5,2,5,97.7,10,883,0,49,196,6,3,23,"2016/2017"
"8468","Wayne Routledge","Swansea City","Left Winger",4,2,2,85.4,33,1403,0,55,175,1,4,23,"2016/2017"
"8469","Wes Morgan","Leicester City","Centre-Back",2,1,1,62.6,37,1980,0,57,308,0,5,23,"2016/2017"
"8470","Wilfred Ndidi","Leicester City","Defensive Midfield",3,0,0,6,6,180,0,6,31,0,0,3,"2016/2017"
"8471","Wilfried Bony","Manchester City","Centre-Forward",5,2,0,49,12,684,0,29,92,3,3,23,"2016/2017"
"8472","Wilfried Zaha","Crystal Palace","Right Winger",4,4,8,133.4,34,1645,0,91,301,10,1,23,"2016/2017"
"8473","Willian Borges Da Silva","Chelsea FC","Right Winger",4,5,2,119.5,10,1025,0,73,288,8,6,23,"2016/2017"
"8474","Willy Caballero","Manchester City","Goalkeeper",1,0,0,4.8,3,270,0,12,39,0,0,23,"2016/2017"
"8475","Will Keane","Hull City","Centre-Forward",5,0,0,8.3,10,280,0,8,9,0,1,20,"2016/2017"
"8476","Winston Reid","West Ham United","Centre-Back",2,2,3,78.5,29,1697,0,79,434,15,6,23,"2016/2017"
"8477","Xherdan Shaqiri","Stoke City","Right Winger",4,3,0,89.4,10,1072,0,51,164,5,6,23,"2016/2017"
